# Constructed from biom file
#OTU ID	sample-39	sample-76	sample-110	sample-26	sample-1	sample-17	sample-59	sample-69	sample-11	sample-71	sample-88	sample-124	sample-19	sample-103	sample-111	sample-2	sample-73	sample-52	sample-115	sample-22	sample-92	sample-125	sample-120	sample-20	sample-105	sample-78	sample-121	sample-45	sample-109	sample-38	sample-53	sample-118	sample-85	sample-106	sample-7	sample-40	sample-21	sample-46	sample-99	sample-87	sample-62	sample-14	sample-63	sample-113	sample-50	sample-58	sample-60	sample-123	sample-104	sample-10	sample-3	sample-44	sample-49	sample-81	sample-25	sample-72	sample-41	sample-65	sample-122	sample-48	sample-93	sample-107	sample-79	sample-35	sample-61	sample-82	sample-64	sample-42	sample-116	sample-96	sample-86	sample-16	sample-108	sample-5	sample-6	sample-37	sample-70	sample-91	sample-23	sample-36	sample-34	sample-77	sample-56	sample-29	sample-98	sample-57	sample-66	sample-97	sample-30	sample-84	sample-68	sample-18	sample-24	sample-33	sample-102	sample-100	sample-67	sample-75	sample-80	sample-117	sample-8	sample-94	sample-47	sample-4	sample-74	sample-32	sample-9	sample-114	sample-101	sample-13	sample-31	sample-43	sample-55	sample-27	sample-95
2184d5a83f37c9fdd403818d37441ffe	10093.0	1975.0	0.0	0.0	0.0	0.0	0.0	144.0	0.0	0.0	242.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	351.0	3246.0	0.0	1966.0	0.0	0.0	0.0	0.0	0.0	160.0	2807.0	0.0	0.0	0.0	0.0	0.0	0.0	4735.0	399.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3474.0	0.0	1361.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1578.0	96.0	0.0	0.0	0.0	0.0	1378.0	1295.0	0.0	1558.0	0.0	0.0	0.0	0.0	2329.0	235.0	3579.0	0.0	0.0	0.0	5997.0	0.0	0.0	2988.0	0.0	0.0	0.0	0.0	1.0	0.0	16288.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	450.0	0.0	0.0	0.0	0.0	0.0	0.0	5372.0	0.0	0.0	0.0	0.0
607f6a2dde6c9205505f6a7732dcebe4	4472.0	3185.0	0.0	4090.0	0.0	0.0	14882.0	15015.0	0.0	0.0	5946.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5965.0	6986.0	0.0	12320.0	0.0	0.0	0.0	2403.0	0.0	1479.0	5183.0	0.0	0.0	0.0	0.0	2277.0	0.0	7261.0	2765.0	4865.0	14.0	0.0	0.0	0.0	0.0	0.0	14103.0	0.0	9875.0	5163.0	2072.0	6579.0	0.0	0.0	7472.0	0.0	0.0	0.0	5055.0	2271.0	619.0	0.0	0.0	0.0	0.0	1624.0	1489.0	0.0	12968.0	0.0	0.0	1063.0	0.0	12102.0	2207.0	7858.0	0.0	0.0	0.0	16482.0	0.0	0.0	7399.0	0.0	0.0	0.0	0.0	10.0	0.0	2494.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	854.0	0.0	1352.0	0.0	0.0	5643.0	0.0	0.0	0.0	0.0	0.0	3341.0	7257.0	0.0	2707.0	0.0	4099.0
4c9a93685f6a768e102497225a427ca7	4013.0	39.0	0.0	306.0	0.0	0.0	7057.0	50.0	0.0	0.0	867.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1546.0	0.0	409.0	0.0	0.0	0.0	143.0	0.0	20.0	2283.0	0.0	0.0	0.0	0.0	4.0	0.0	2249.0	100.0	4378.0	14489.0	0.0	0.0	0.0	0.0	0.0	192.0	0.0	1107.0	253.0	1819.0	16.0	0.0	0.0	920.0	0.0	0.0	0.0	567.0	16865.0	4855.0	0.0	0.0	0.0	0.0	4032.0	1005.0	0.0	2784.0	0.0	0.0	3262.0	0.0	78.0	9.0	28.0	0.0	0.0	0.0	860.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	8129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	24.0	0.0	0.0	503.0	0.0	0.0	0.0	0.0	0.0	36.0	1253.0	0.0	0.0	0.0	1251.0
259d624c101ac6094801ee5a4f6e8ed6	2337.0	0.0	0.0	0.0	0.0	0.0	2343.0	7.0	0.0	0.0	576.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	361.0	0.0	0.0	196.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	24.0	1906.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	850.0	0.0	24.0	3.0	0.0	0.0	0.0	0.0	271.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	6.0	0.0	0.0	152.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	842.0	0.0	168.0
288870dbed748a503bd85e73aa3eea2a	1756.0	532.0	0.0	1043.0	0.0	0.0	1724.0	7818.0	0.0	0.0	3739.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1828.0	4025.0	0.0	5643.0	0.0	0.0	0.0	2260.0	0.0	6715.0	0.0	0.0	0.0	0.0	0.0	412.0	0.0	2404.0	395.0	5471.0	0.0	0.0	0.0	0.0	0.0	0.0	2520.0	0.0	6256.0	156.0	10375.0	9622.0	0.0	0.0	739.0	0.0	0.0	0.0	2812.0	11240.0	1306.0	0.0	0.0	0.0	0.0	4978.0	26548.0	0.0	8792.0	0.0	0.0	6918.0	0.0	2724.0	224.0	2169.0	0.0	0.0	0.0	1360.0	0.0	0.0	5541.0	0.0	0.0	0.0	0.0	238.0	0.0	4149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	1287.0	0.0	0.0	246.0	0.0	0.0	0.0	0.0	0.0	29.0	9358.0	0.0	269.0	0.0	1818.0
0dfa7f99c09fa45cfe8f10aaf8700d07	1328.0	1171.0	0.0	429.0	0.0	0.0	1675.0	1473.0	0.0	0.0	380.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	14390.0	0.0	374.0	0.0	0.0	0.0	3.0	0.0	308.0	980.0	0.0	0.0	0.0	0.0	34.0	0.0	722.0	1760.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	782.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	684.0	205.0	0.0	0.0	0.0	0.0	852.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	7906.0	0.0	0.0	1111.0	0.0	0.0	0.0	0.0	136.0	0.0	2335.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3211.0	0.0	0.0	841.0	0.0	0.0	0.0	0.0	0.0	0.0	1579.0	0.0	0.0	0.0	0.0
d3e2e3ba8cafe0a2aafc1a14e2e02275	1103.0	290.0	0.0	1955.0	0.0	0.0	1852.0	9200.0	0.0	0.0	825.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2871.0	0.0	1560.0	0.0	0.0	0.0	6973.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	1654.0	167.0	3446.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9533.0	168.0	560.0	1537.0	0.0	0.0	0.0	0.0	0.0	0.0	1498.0	218.0	138.0	0.0	0.0	0.0	0.0	730.0	565.0	0.0	4111.0	0.0	0.0	633.0	0.0	6929.0	144.0	0.0	0.0	0.0	0.0	1644.0	0.0	0.0	1898.0	0.0	0.0	0.0	0.0	2.0	0.0	960.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1062.0	0.0	160.0	0.0	2051.0
f08c178ea49b4bb026b341392a5f6324	900.0	21.0	0.0	315.0	0.0	0.0	1438.0	8368.0	0.0	0.0	1062.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.0	4568.0	0.0	0.0	0.0	0.0	0.0	5452.0	0.0	0.0	2561.0	0.0	0.0	0.0	0.0	2633.0	0.0	1416.0	1513.0	0.0	1149.0	0.0	0.0	0.0	0.0	0.0	5378.0	0.0	146.0	84.0	226.0	722.0	0.0	0.0	256.0	0.0	0.0	0.0	0.0	568.0	0.0	0.0	0.0	0.0	0.0	412.0	0.0	0.0	0.0	0.0	0.0	470.0	0.0	2699.0	2239.0	5294.0	0.0	0.0	0.0	424.0	0.0	0.0	3018.0	0.0	0.0	0.0	0.0	0.0	0.0	1149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	1442.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	631.0
1c746e4731268fb327a7f6a1d52a1bae	884.0	267.0	0.0	1351.0	0.0	0.0	5611.0	3775.0	0.0	0.0	605.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1469.0	415.0	0.0	1899.0	0.0	0.0	0.0	0.0	0.0	538.0	503.0	0.0	0.0	0.0	0.0	2124.0	0.0	1306.0	479.0	2590.0	0.0	0.0	0.0	0.0	0.0	0.0	709.0	0.0	505.0	1390.0	938.0	1354.0	0.0	0.0	1002.0	0.0	0.0	0.0	813.0	234.0	133.0	0.0	0.0	0.0	0.0	296.0	122.0	0.0	2894.0	0.0	0.0	339.0	0.0	2914.0	1868.0	1615.0	0.0	0.0	0.0	3881.0	0.0	0.0	1444.0	0.0	0.0	0.0	0.0	3.0	0.0	678.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	957.0	0.0	0.0	1358.0	0.0	0.0	0.0	0.0	0.0	262.0	1430.0	0.0	404.0	0.0	917.0
8f1e00218a5732dfd92b59a6360e7a01	800.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	221.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	271.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	450.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	464.0	0.0	0.0	0.0	0.0
