	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	190.0	190.0	190.0	190.0	190.0
mean	0.17536298591402305	180.94210526315788	0.0001815494428876014	5.1433663511577254	16.463911734093003
std	0.0878394944796494	50.84421497675638	0.00011507490591023924	0.5796724519649715	3.4577148210695365
min	0.0511226642555756	61.0	1.3056193858366409e-05	3.4276040526356675	9.098969490845889
25%	0.1010553677650877	148.25	0.00010277512922415	4.755901796324662	13.69241555325496
50%	0.14819361796032648	175.5	0.00014988279115745	5.191907206415236	16.092852671572476
75%	0.2415203212326814	206.5	0.000235391273537475	5.552150397643038	19.15879240350541
max	0.4015544503271119	324.0	0.0006519511967961	6.333531835244166	24.661768415888243
