	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	68.0	68.0	68.0	68.0	68.0
mean	0.12095495360810314	211.33823529411765	5.861419491168531e-05	5.6480573791839745	13.411769699879587
std	0.053245932156239115	62.32883674012091	4.6270679324416905e-05	0.5112732912443468	3.2644653561210686
min	0.0501200517919772	35.0	0.0	4.521072628253188	6.455121824563085
25%	0.08358387821147092	170.75	2.166352128615216e-05	5.181780343083556	11.220525674520044
50%	0.10450559782871299	200.5	5.109059784144147e-05	5.73801136798857	12.528706089433443
75%	0.14806032432283192	247.5	8.253113998409701e-05	6.006100402486815	15.717215497222309
max	0.2801302931596091	372.0	0.0002087769844252	6.682397899678153	20.84477716484916
