	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	246.0	246.0	246.0	246.0	246.0
mean	0.23429622826143082	271.109756097561	0.0004136267854789513	5.044407620593137	26.277296905473108
std	0.16675414902525137	110.71257208969439	0.00048355151159290983	1.1836452362660412	7.159432645931065
min	0.045518801243992	26.0	0.0	1.7026620016046972	6.858575208453702
25%	0.11988168413783852	192.25	0.0001330811107292	4.313869568453186	21.413606394988445
50%	0.178988222132743	261.0	0.00028271351747505	5.093365418506055	25.753043552087398
75%	0.3095291399572997	340.25	0.00048332625520635	6.020811477144335	30.842958871340755
max	0.8361042828571177	615.0	0.0039318479685452	7.248088806460171	45.10742959532285
