	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	237.0	237.0	237.0	237.0	237.0
mean	0.1276450089021363	182.33333333333334	0.001757059822385758	5.561428887856015	19.01332122410191
std	0.055305086472207395	67.822196090114	0.0012361644799638097	0.6233244723709964	5.154324085344649
min	0.0532904148783977	3.0	0.0	1.4353713907745334	5.227829377974347
25%	0.0962151909647383	133.0	0.0009122574224581	5.262979979288421	15.152132724483684
50%	0.1168855302279484	180.0	0.0013899920571882	5.559943176615824	18.31079151149292
75%	0.1478615071283095	227.0	0.0022011886418666	5.968367147911093	22.42252216648621
max	0.5454545454545454	390.0	0.0070019096117122	6.667767966617203	34.50663260387027
