	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	115.0	115.0	115.0	115.0	115.0
mean	0.2070160244225629	155.35652173913044	9.425444538852356e-05	4.490638751240154	16.102648677751734
std	0.10542536383116928	91.83816728491328	0.00022015136528465685	0.8838300004601323	8.140331674660114
min	0.0656174256920525	5.0	0.0	2.129181998864994	3.35466953389651
25%	0.12460321562345505	66.5	2.7267430979567577e-05	3.8353794729962694	7.355298689772901
50%	0.1890281887556455	153.0	5.627462014631401e-05	4.591462466532655	17.716853325792915
75%	0.2707591963240825	228.0	9.200034951818504e-05	5.132166647036397	23.114866032238297
max	0.6813643713266432	393.0	0.0021929824561403	6.136319176424017	32.262376847305774
