	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	150.0	150.0	150.0	150.0	150.0
mean	0.17845307574648223	199.75333333333333	0.003491692321998408	5.550290753109053	18.565284213138533
std	0.10422976225485611	53.994523295064816	0.0015625186187183658	0.8262776905172018	4.0904507149208005
min	0.0596311886149528	95.0	0.0004066142586066	2.7039120156164174	10.26868364720665
25%	0.10471137102391452	165.0	0.0023977221639442	5.057956580905611	15.377892925226947
50%	0.14893871121181274	189.5	0.00335527170383195	5.668212986403341	17.819551010563448
75%	0.23244607934310138	230.0	0.004448622433971425	6.186589269339148	21.36412827015303
max	0.5870546914199699	375.0	0.0093390804597701	6.912758457821584	28.112517679388816
