	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	29.0	29.0	29.0	29.0	29.0
mean	0.3299236396478911	83.62068965517241	0.0	4.003057203808475	7.423820170821305
std	0.1520588969986715	32.961464289057574	0.0	1.0798808563799696	3.607185446180115
min	0.1349410797478761	36.0	0.0	2.1675488561709364	3.2762355176198663
25%	0.202131053403943	57.0	0.0	2.912766231389468	5.262660617231727
50%	0.2818413300713965	80.0	0.0	4.211179337484102	6.616523739901281
75%	0.3993708278984117	104.0	0.0	4.860619850658019	8.0797835865347
max	0.6048881715471525	154.0	0.0	5.808856155132546	20.1610331472792
