	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	413.0	413.0	413.0	413.0	413.0
mean	0.21499619418110022	123.0314769975787	0.0006175358208644668	4.567275775566423	6.371439809105181
std	0.10978046722871723	57.608500223976506	0.0008712058666873591	0.7338505222246746	1.2478096879667244
min	0.0590527577937649	38.0	0.0	0.8971656454350173	3.479034044556097
25%	0.1424850786760716	83.0	7.627474161931276e-05	4.147151644968786	5.448997512392859
50%	0.192280665226557	107.0	0.0002445585717779	4.598717259353232	6.415130988642911
75%	0.2610766629086809	148.0	0.0009277011565341	5.06804547623967	7.180184768211639
max	0.9060150375939848	349.0	0.0086923658352229	6.321147897096977	10.241598442406046
