	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	346.0	346.0	346.0	346.0	346.0
mean	0.13710481507424307	184.91907514450867	0.004579025866428511	5.692812603827919	15.949196009836559
std	0.06473088464340825	55.03431693844572	0.0020357110715366793	0.5589007768325949	2.747620821626968
min	0.0320620992237597	56.0	0.0	3.744146994193122	7.299824700558737
25%	0.09055125603688824	147.0	0.0030634643835571	5.414644839683829	14.04387003552532
50%	0.12320988869843855	176.0	0.004287699206581249	5.7302960214022916	15.365642143069039
75%	0.17083777313300286	211.0	0.0056610387154913	6.082812744098147	17.509212985628775
max	0.4326169405815424	348.0	0.0159332321699544	7.1976815270572185	26.339291931362663
