	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	533.0	533.0	533.0	533.0	533.0
mean	0.32538144003613007	165.5234521575985	9.402522036568212e-05	3.8353877575480246	16.124964906146904
std	0.2443296524967066	104.84532966217418	9.386153697155723e-05	1.8288766420632308	7.94331711714957
min	0.0553238268245713	13.0	0.0	0.0518700987944943	2.243979790445865
25%	0.1215635107321376	61.0	2.541489821333265e-05	2.143861064380556	8.36157745674823
50%	0.2338499399408197	175.0	7.018983651167311e-05	4.498884807805156	17.2642223939338
75%	0.4835749043240341	247.0	0.0001311893249372	5.46751365699012	22.43885439843683
max	0.996358399004902	437.0	0.0006615631792836	6.766457221928032	35.340412460287496
