	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	46.0	46.0	46.0	46.0	0.0
mean	0.21786062100534387	283.1304347826087	0.0003115387003411079	4.737312743049596	
std	0.15972709993374803	68.72056418590424	0.00022204544953248698	0.979458194931579	
min	0.0727143067919146	145.0	6.665155897996454e-05	0.8119543747411676	
25%	0.14141569377330968	234.5	0.000216200131844625	4.411648462374784	
50%	0.19023360222270508	285.0	0.000266947316183	4.88940074668146	
75%	0.23376280543010813	337.5	0.000351680034515275	5.228495797346171	
max	0.9220406635898716	404.0	0.0014879107253564	6.010784904653298	
