	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	29.0	29.0	29.0	29.0	0.0
mean	0.33908055632538453	129.17241379310346	0.0011150631154716205	4.023081305232181	
std	0.14815584503624135	46.44356711223175	0.0007328266939708188	1.0180509792558605	
min	0.141832729468599	58.0	0.0001492091912861	2.265169358144324	
25%	0.2196142649199417	82.0	0.0005749486652977	2.961928139169217	
50%	0.3127474267616785	136.0	0.0008841732979664	4.3390922701132295	
75%	0.4161508989095196	168.0	0.0014297969688304	4.79546491591326	
max	0.6223771444193835	212.0	0.0033644859813084	5.666641368697053	
