	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	2439.0	2439.0	2439.0	2439.0	2439.0
mean	0.29690727833204256	169.4309143091431	0.007287215464747192	4.521626988978388	24.13295085392568
std	0.20331907280628891	59.10371062066139	0.0031336909522691365	1.302562504014823	6.414554348212029
min	0.0412962962962962	17.0	0.0003703703703703	0.1023601873471913	6.600084172810268
25%	0.14250000000000002	128.5	0.005	3.7778061131334795	19.725586229292176
50%	0.2325925925925926	167.0	0.007037037037037	4.8273815055947376	23.884237799590977
75%	0.3938888888888889	210.0	0.0092592592592592	5.474379762379906	28.46678445505396
max	0.9916666666666668	390.0	0.0187037037037037	7.197113739894923	48.18409532505968
