	berger_parker_d	observed_features	robbins	shannon_entropy	faith_pd
count	308.0	308.0	308.0	308.0	308.0
mean	0.12188932065514639	175.75974025974025	0.0008423779316036793	5.533128741444481	16.97943596013108
std	0.05203187145131212	57.8990534760082	0.0006670209868452561	0.47670903155752925	4.576240687162638
min	0.053279853456716	66.0	0.0	4.067056599954313	7.841477538622222
25%	0.08696272658219578	131.75	0.00039101687186495	5.2224360788747	13.465763408283543
50%	0.11033081384144411	166.0	0.00067457630679055	5.555127686237567	16.595675729726402
75%	0.1365280904581107	211.0	0.00111278002887615	5.858496957227175	19.769554889615264
max	0.3330699952599146	361.0	0.0054446460980036	6.519097274247737	30.31063142812581
