# Constructed from biom file
#OTU ID	sample-20	sample-41	sample-18	sample-34	sample-11	sample-14	sample-2	sample-22	sample-4	sample-6	sample-27	sample-25	sample-3	sample-46	sample-10	sample-26	sample-31	sample-17	sample-29	sample-38	sample-28	sample-30	sample-13	sample-32	sample-15	sample-16	sample-7	sample-37	sample-9	sample-12	sample-8	sample-1	sample-39	sample-45	sample-23	sample-44	sample-21	sample-35	sample-19	sample-42	sample-43	sample-5	sample-33	sample-40	sample-24	sample-36
7761340f06311ca4005fee4887fdd09d	17830.0	9.0	1389.0	35.0	22.0	736.0	557.0	34.0	6.0	6.0	21.0	13.0	51.0	12.0	15.0	29.0	21.0	15.0	2020.0	7.0	2719.0	22.0	220.0	31.0	10687.0	25.0	9.0	19.0	8.0	364.0	9.0	7862.0	10.0	12.0	18.0	15.0	1065.0	18.0	208.0	12.0	8.0	13.0	12.0	8.0	29.0	29.0
e3c9f8ec25ae8c5e9501e1daf9d3b823	3672.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	266.0	0.0	0.0	0.0	0.0	1.0	887.0	0.0	0.0	9.0	0.0	0.0	0.0	924.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	53.0	0.0	0.0	400.0	0.0	0.0	30.0	0.0
accf5a97f131577a2862dee8693a0849	3430.0	1559.0	2264.0	53.0	1099.0	154.0	2387.0	684.0	3633.0	4.0	2036.0	96.0	881.0	38.0	2355.0	850.0	3848.0	0.0	7168.0	37.0	1957.0	749.0	841.0	56.0	431.0	16.0	4.0	2174.0	1714.0	1297.0	876.0	1953.0	51.0	38.0	1388.0	62.0	56.0	77.0	366.0	1183.0	1266.0	956.0	94.0	1583.0	297.0	1236.0
d85593df560f082a11f8d09259665274	2671.0	219.0	13.0	225.0	124.0	39.0	184.0	1854.0	1367.0	1802.0	2650.0	528.0	193.0	5482.0	3.0	991.0	263.0	7.0	191.0	113.0	222.0	3689.0	6.0	1131.0	18.0	10.0	95.0	264.0	8.0	9.0	17.0	1733.0	195.0	5482.0	8191.0	8686.0	66528.0	6420.0	4.0	206.0	222.0	6.0	778.0	220.0	1069.0	202.0
9dee70ef73efb7fe5e3db68c75592e64	2073.0	0.0	66.0	0.0	343.0	0.0	1035.0	0.0	319.0	0.0	56.0	11.0	275.0	7.0	260.0	25.0	0.0	0.0	1134.0	0.0	634.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	59.0	0.0	10.0	0.0	0.0	458.0	1.0	0.0	0.0	502.0
28a5498892b2f14ad868374532223d79	1802.0	30.0	355.0	59.0	1211.0	59.0	370.0	227.0	257.0	0.0	907.0	211.0	763.0	35.0	937.0	705.0	991.0	784.0	1115.0	69.0	177.0	76.0	0.0	62.0	9902.0	10.0	7.0	1261.0	314.0	0.0	227.0	451.0	92.0	35.0	922.0	50.0	110.0	39.0	67.0	241.0	353.0	977.0	131.0	81.0	329.0	613.0
c6e809dc8c501556ca31050be8efad7b	1566.0	0.0	0.0	23.0	105.0	0.0	0.0	7.0	42.0	0.0	147.0	0.0	0.0	33.0	0.0	80.0	0.0	37.0	145.0	0.0	45.0	0.0	0.0	0.0	0.0	3.0	0.0	8.0	108.0	0.0	70.0	333.0	0.0	33.0	0.0	321.0	189.0	430.0	0.0	0.0	0.0	229.0	50.0	0.0	0.0	14.0
ee32667f09112b25459fdc8b92adc8f9	1518.0	2.0	12160.0	50279.0	14671.0	0.0	1560.0	6580.0	1770.0	2199.0	2137.0	353.0	225.0	2435.0	4029.0	2202.0	484.0	4977.0	588.0	3843.0	495.0	443.0	4801.0	1570.0	0.0	5915.0	55.0	0.0	1722.0	0.0	1461.0	65.0	4765.0	2435.0	1935.0	519.0	28.0	2.0	364.0	471.0	130.0	1132.0	1928.0	0.0	995.0	0.0
a49e6c78e5a788547605ea1fd07e6b28	1367.0	12.0	6.0	4.0	0.0	0.0	0.0	6.0	97.0	0.0	0.0	0.0	7.0	8.0	0.0	6.0	0.0	1944.0	0.0	3.0	5.0	0.0	0.0	4.0	0.0	1058.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0	8.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	476.0	0.0	5.0	6.0	3.0
bd624286a4af51a8e25997a4482b7219	1362.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	0.0	110.0	285.0	0.0	0.0	2124.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0
6cdf2af233a07ddd35959e9f2751e095	1282.0	4743.0	1984.0	92.0	1473.0	860.0	1543.0	168.0	1677.0	1625.0	2121.0	47.0	5646.0	748.0	2730.0	466.0	2648.0	913.0	8026.0	262.0	879.0	264.0	3181.0	222.0	2209.0	25.0	13532.0	9642.0	645.0	958.0	32.0	3172.0	91.0	748.0	0.0	7604.0	119.0	4257.0	255.0	460.0	379.0	14382.0	144.0	2387.0	254.0	3275.0
9bccc1c62a5f67131437f213bd4b772e	1260.0	14154.0	692.0	365.0	280.0	0.0	3284.0	0.0	9.0	0.0	40.0	0.0	1342.0	2144.0	0.0	57.0	0.0	103.0	0.0	317.0	2.0	54.0	1538.0	72.0	0.0	12.0	0.0	6625.0	0.0	7771.0	0.0	509.0	172.0	2144.0	0.0	14567.0	50.0	10773.0	314.0	33.0	28.0	130.0	45.0	7194.0	52.0	4287.0
0b64f27b85c93d9fee03b6764a4a00f0	1207.0	29.0	131.0	9.0	85.0	195.0	367.0	94.0	4.0	0.0	198.0	264.0	23.0	128.0	353.0	121.0	111.0	21.0	249.0	7.0	87.0	138.0	41.0	23.0	6147.0	2.0	4.0	64.0	214.0	17.0	231.0	425.0	2.0	128.0	44.0	682.0	43.0	379.0	123.0	29.0	39.0	25.0	27.0	8.0	37.0	7.0
a4fefbdaf08f4c60670b16fcf9827f77	1099.0	0.0	0.0	0.0	158.0	0.0	0.0	781.0	38.0	587.0	0.0	0.0	4067.0	38.0	45.0	0.0	0.0	871.0	17.0	12.0	0.0	0.0	0.0	0.0	417.0	0.0	324.0	0.0	562.0	0.0	0.0	0.0	432.0	38.0	891.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
d47d6e98b32a0f4e6e1450623e58bdb3	1071.0	0.0	0.0	0.0	60.0	443.0	0.0	1.0	0.0	0.0	93.0	0.0	0.0	0.0	39.0	0.0	371.0	0.0	0.0	16.0	0.0	13.0	0.0	2.0	755.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	125.0	0.0	0.0	12.0	32.0	27.0	7.0	1.0	0.0	1.0
e9273336f94669fb2186c388659b56cc	703.0	0.0	0.0	0.0	0.0	6203.0	178.0	0.0	0.0	44.0	18.0	44.0	0.0	53.0	84.0	0.0	0.0	311.0	0.0	0.0	0.0	37.0	0.0	0.0	33.0	161.0	0.0	0.0	275.0	0.0	569.0	0.0	0.0	53.0	42.0	1111.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	415.0	0.0	0.0
